,text,withheld_in_countries,hashtags,lang,possibly_sensitive,verified_account,followers_count,location,withheld_anywhere,popularity_score
127, ¿Algún single para esta semana? ,['XX'],[],es,0.0,False,325,,True,0.027289069908749814
128, ¿Algún single para esta semana? ,['XX'],[],es,0.0,False,325,,True,0.027289069908749814
173," Mi culito necesito mimitos 🥺🔥

Te gustaría verme desnudita?😈🥵 ",['XX'],[],es,1.0,False,27466,,True,0.0009302564549449136
174," Mi culito necesito mimitos 🥺🔥

Te gustaría verme desnudita?😈🥵 ",['XX'],[],es,1.0,False,27466,,True,0.0009302564549449136
513, Merendaron?👅 ,['DE'],[],es,1.0,False,195369,,True,0.030801092131100504
528, Buenas noches 😍 ,['XX'],[],es,0.0,False,9,,True,4.3678036516839205e-05
529, Buenas noches 😍 ,['XX'],[],es,0.0,False,9,,True,4.3678036516839205e-05
855,Está mujer es doblemente idiota😂,[],[],es,0.0,False,463,,False,0.009968570831181746
1314, Y tu donde me la pones? ,['XX'],[],es,1.0,False,226,,True,0.0025920776129579287
1315, Y tu donde me la pones? ,['XX'],[],es,1.0,False,226,,True,0.0025920776129579287
1334," #Ataque ⚠️ | Aviones de combate turcos llevaron a cabo un bombardeo en una aldea en Kurdistán del Sur el martes. 
",['TR'],['Ataque'],es,0.0,False,3203,,True,0.036147994441307806
1335," #Ataque ⚠️ | Aviones de combate turcos llevaron a cabo un bombardeo en una aldea en Kurdistán del Sur el martes. 
",['TR'],['Ataque'],es,0.0,False,3203,,True,0.036147994441307806
1586,"“El recuerdo de la epopeya de Franco y sus legionarios pervivirá” - La Razón
 a través de @fnffranco #fnff",['DE'],['fnff'],es,1.0,False,11453,,True,0.0006067822370660303
1595," #Entevista 🗣️ | #HêjarZozan, comandantes de la #guerrilla femenina: ""Las acciones de la #YJAStar no se limitan a Heftanin.…",['TR'],"['Entevista', 'HêjarZozan', 'guerrilla', 'YJAStar']",es,0.0,False,617,,True,6.441623289344596e-05
1596," #Entevista 🗣️ | #HêjarZozan, comandantes de la #guerrilla femenina: ""Las acciones de la #YJAStar no se limitan a Heftanin.…",['TR'],"['Entevista', 'HêjarZozan', 'guerrilla', 'YJAStar']",es,0.0,False,617,,True,6.441623289344596e-05
1965, 🔴 El FIT-Unidad es la única fuerza política que denuncia que millones de dosis de principio activo se producen en el p…,['TR'],[],es,0.0,False,431,,True,0.007650854060411591
2617," 29-03-1950: Franco recibe una comisión del Consejo General de los Colegios Oficiales de Peritos Agrícolas
",['DE'],[],es,0.0,False,4807,,True,0.06976741363021426
2618," 29-03-1950: Franco recibe una comisión del Consejo General de los Colegios Oficiales de Peritos Agrícolas
",['DE'],[],es,0.0,False,4807,,True,0.06976741363021426
3167," Lázaro Baez. Un caso que rebalsa de injerencia política 

",['TR'],[],es,0.0,False,429,,True,0.007582066189292285
3394, Hasta que se le hizo probar la verga del cuñado... ,['XX'],[],es,0.0,False,713,,True,0.00023696841022114435
3395, Hasta que se le hizo probar la verga del cuñado... ,['XX'],[],es,0.0,False,713,,True,0.00023696841022114435
3487, Hay que cerrar Ciencias Suciales de la UBA. ,['FR'],[],es,0.0,False,132,,True,0.0040934468074508516
3505, Esos heteros les encanta masturbarse en tre ellos ,['XX'],[],es,0.0,False,51,,True,0.001223793067494225
3506, Esos heteros les encanta masturbarse en tre ellos ,['XX'],[],es,0.0,False,51,,True,0.001223793067494225
3543," ⚽ 🇧🇷  La última jornada del Brasileirão se define hoy con el atractivo de saber si Flamengo obtiene el bicampeonato, o b…",['RU'],[],es,0.0,True,35848,,True,0.0026533339113251706
3550,"#Alemania | Aunque la bandera asiria no está en la lista de símbolos prohibidos del Ministerio del Interior alemán, la policía de Dusseldorf ha prohibido arbitrariamente a los asirios mostrar su bandera nacional en una manifestación por #Öcalan
",['TR'],['Alemania'],es,0.0,False,2427,,True,9.271358951473322e-05
4560, #Ginebra | Bedirhan Kahraman del Consejo de la Diáspora de #Shengal pidió a la #ONU que cumpla con su deber fundamental co…,['TR'],"['Ginebra', 'Shengal', 'ONU']",es,0.0,False,468,,True,0.024801134337825693
4561, #Ginebra | Bedirhan Kahraman del Consejo de la Diáspora de #Shengal pidió a la #ONU que cumpla con su deber fundamental co…,['TR'],"['Ginebra', 'Shengal', 'ONU']",es,0.0,False,468,,True,0.024801134337825693
4940,Activo sexy,['XX'],[],es,0.0,False,1256,,True,0.0025397559572543963
4980,Pero hermano desde el 2014 que todes pensamos que estabas tomuer,[],[],es,0.0,False,2460,,False,0.04251711409468941
5413,"Obispo Pedro Cantero Cuadrado, gran valedor de Auxilio Social
 a través de @fnffranco #fnff",['DE'],['fnff'],es,1.0,False,11446,,True,0.0006172595670226767
5528,@KakaTillo @saniaabbasi01 Lol 🤣🤣🤣🤣🤣 Aho,['IN'],[],es,0.0,False,19871,,True,0.020754440669561284
5626," Mamá mamá, ¿cómo hace la oveja?

- Meeeeeeh.

¿Y la oveja negra?

- Yeah my nigga moderfacka.

JAJAJAJAJAJAJAJA YEAH MY NIGG…",['FR'],[],es,0.0,False,45,,True,0.0005191404120009652
5627," Mamá mamá, ¿cómo hace la oveja?

- Meeeeeeh.

¿Y la oveja negra?

- Yeah my nigga moderfacka.

JAJAJAJAJAJAJAJA YEAH MY NIGG…",['FR'],[],es,0.0,False,45,,True,0.0005191404120009652
5638, sin brasier se vive mejor,['XX'],[],es,0.0,False,164,,True,0.001767695005705448
5639, sin brasier se vive mejor,['XX'],[],es,0.0,False,164,,True,0.001767695005705448
5731,"Buee todos son fans de daft punk ahora, no conocen otro tema que no sea get lucky",['DE'],[],es,0.0,False,274,,True,0.002716764026317056
6171, Hola mis amores este m estaba faltando espero les guste 💋 ,['XX'],[],es,0.0,False,28,,True,0.00022591777413708805
6172, Hola mis amores este m estaba faltando espero les guste 💋 ,['XX'],[],es,0.0,False,28,,True,0.00022591777413708805
6379," FeLiZ dia de Reyes MaGoS!!!

Entra hoy en mi telegram y descubre regalitos y las megaofertas que tengo hoy en el onlyfans…",['DE'],[],es,0.0,False,194329,,True,0.030798205103236637
6685," Kobane 2014
Kobane 2021 
26.01.2015 el día de la liberación de #Kobane de manos de ISIS. ",['TR'],['Kobane'],es,0.0,False,16823,,True,0.005134015551498534
7231," #JaveriaSiddique #Interview #Salman
Javeria Siddique Interview By 
Salman Ahmed Sufi
@javerias
",['IN'],"['JaveriaSiddique', 'Interview', 'Salman']",es,0.0,False,656,,True,0.013098849347448089
7271, Mañana lunes y yo tan domingo,['XX'],[],es,0.0,False,327,,True,0.0004350944104631786
7272, Mañana lunes y yo tan domingo,['XX'],[],es,0.0,False,327,,True,0.0004350944104631786
7366," 21-02-1907: Nace Tomás García Rebull, doble Medalla Militar Individual
 a través de @fnffranco #fnff…",['DE'],['fnff'],es,0.0,False,177,,True,0.0020362212228841837
7367," 21-02-1907: Nace Tomás García Rebull, doble Medalla Militar Individual
 a través de @fnffranco #fnff…",['DE'],['fnff'],es,0.0,False,177,,True,0.0020362212228841837
7431,"@gfc_miriam No olvides propagar a los cuatro vientos el nombre de la empresa y el de tu jefe a todos los medios de comunicación locales y Redes Sociales. Así, además de (obviamente) perder el juicio y pagar por despido improcedente, quedará como el culo ante todo Cristo ",['TR'],[],es,0.0,False,861,,True,0.005461053772668705
8473, Conmemoraciones en toda #Alemania por las víctimas del atentado de #Hanau. Miles de personas han denunciado la normalidad…,['TR'],"['Alemania', 'Hanau']",es,0.0,False,446,,True,0.023191340475716846
8474, Conmemoraciones en toda #Alemania por las víctimas del atentado de #Hanau. Miles de personas han denunciado la normalidad…,['TR'],"['Alemania', 'Hanau']",es,0.0,False,446,,True,0.023191340475716846
8478, @tonaco1871 @nytimes @elmundoes Aquí nuestra respuesta al artículo de @elmundoes que debería dar vergüenza lavarle la cara…,['TR'],[],es,0.0,False,313,,True,0.003101658169285932
8479, @tonaco1871 @nytimes @elmundoes Aquí nuestra respuesta al artículo de @elmundoes que debería dar vergüenza lavarle la cara…,['TR'],[],es,0.0,False,313,,True,0.003101658169285932
8645, #DDHH | Despliegan varias pancartas en una de las entradas principales a #Barcelona para protestar por el aislamiento y la…,['TR'],"['DDHH', 'Barcelona']",es,0.0,False,1424,,True,0.009889102317621034
8646, #DDHH | Despliegan varias pancartas en una de las entradas principales a #Barcelona para protestar por el aislamiento y la…,['TR'],"['DDHH', 'Barcelona']",es,0.0,False,1424,,True,0.009889102317621034
8890, #EstadoEspañol | Siguen llegando mensajes de #solidaridad con el #HDP ante la amenaza de su ilegalización en #Turquía. htt…,['TR'],"['EstadoEspañol', 'solidaridad', 'HDP', 'Turquía']",es,0.0,False,3223,,True,0.03670287413705938
8891, #EstadoEspañol | Siguen llegando mensajes de #solidaridad con el #HDP ante la amenaza de su ilegalización en #Turquía. htt…,['TR'],"['EstadoEspañol', 'solidaridad', 'HDP', 'Turquía']",es,0.0,False,3223,,True,0.03670287413705938
9756,"Ayer, la extrema izquierda quiso reventar las calles de Madrid con la excusa de Pablo Hasel, pero la UIP lo impidió.
Por cierto, este es Pablo ⬇️⬇️
#FelizDomingo",[],[],es,0.0,False,4427,,False,0.0014056637766046158
10886, Pensamiento de Franco: Diálogo Sindicalismo-Administración  a través de @fnffranco #fnff #pensamiento…,['DE'],['fnff'],es,0.0,False,4797,,True,0.06924187444017407
